hôm nay trời đẹp không?,hoi_thoi_tiet
hôm nay thời tiết nào ?,hoi_thoi_tiet
hôm nay mưa không ?,hoi_thoi_tiet
hôm nay nắng không ?,hoi_thoi_tiet
thời tiết hôm nay thế nào?,hoi_thoi_tiet
thời tiết như nào?,hoi_thoi_tiet
tôi muốn xem thời tiết?,hoi_thoi_tiet
,
chào em gái,chao_hoi
chào bạn,chao_hoi
hello bạn,chao_hoi
hi bot,chao_hoi
hi em,chao_hoi
xin chào,chao_hoi
chào em,chao_hoi
,
Sáng đèn,bat_den
Bật đèn,bat_den
Bật đèn lên.,bat_den
Bật đèn nhanh lên,bat_den
Bật bóng đèn,bat_den
Mở bóng đèn,bat_den
Mở đèn,bat_den
On đèn.,bat_den
Turn on the light.,bat_den
Tối quá.,bat_den
Tối rồi,bat_den
Sao tối thế?,bat_den
Trời tối rồi,bat_den
,
Nên tắt đèn,tat_den
Tắt đèn,tat_den
Tắt đèn nào,tat_den
Tắt đèn đi thôi,tat_den
Tắt đèn thôi,tat_den
Tắt đèn đi,tat_den
Tắt đèn ngay,tat_den
Off đèn.,tat_den
Chói mắt quá.,tat_den
Chói mắt.,tat_den
Turn off,tat_den
,
Bật máy bơm,bat_bom
Bật máy bơm lên,bat_bom
Bật bơm lên,bat_bom
Bật bơm,bat_bom
Khởi động máy bơm,bat_bom
Bơm nước,bat_bom
Chạy máy bơm,bat_bom
Chạy bơm,bat_bom
Run máy bơm,bat_bom
Mở bơm,bat_bom
Start máy bơm,bat_bom
Start bơm,bat_bom
trong bể hết nước rồi,bat_bom
hết nước rồi,bat_bom
,
Tắt máy bơm,tat_bom
Tắt bơm,tat_bom
Dừng máy bơm,tat_bom
Dừng bơm,tat_bom
Stop máy bơm,tat_bom
Stop bơm,tat_bom
Off máy bơm,tat_bom
Đầy nước rồi,tat_bom
Nước đầy rôi,tat_bom
,
bạn có thể làm những gì?,hoi_chuc_nang
bạn có biết những gì?,hoi_chuc_nang
bạn có thể làm những gì?,hoi_chuc_nang
em biết làm những gì?,hoi_chuc_nang
em biết gì?,hoi_chuc_nang
,
bây giờ là mấy giờ?,hoi_gio
mấy giờ rồi?,hoi_gio
không biết giờ giấc thế nào?,hoi_gio
giờ giấc thế nào nhỉ?,hoi_gio
thời gian hiện tại?,hoi_gio
,
hôm nay ngày mấy nhỉ?,hoi_ngay
nay ngày mấy?,hoi_ngay
nay ngày bao nhiêu?,hoi_ngay
ngày bao nhiêu?,hoi_ngay
nay ngày nào?,hoi_ngay
hôm nay là ngày nào?,hoi_ngay
,
Định nghĩa,hoi_dinh_nghia
Nghe định nghĩa.,hoi_dinh_nghia
Kể tôi biết về thế giới,hoi_dinh_nghia
Hỏi về định nghĩa,hoi_dinh_nghia
Hỏi định nghĩa,hoi_dinh_nghia
Định nghĩa,hoi_dinh_nghia
